"","Job.Title","X2020.Count","X2021.Count","X2022.Count"
"1","Machine Learning Scientist",1,4,8
"2","AI Scientist",1,4,5
"3","Data Scientist",21,45,129
"4","Analytics Engineer",0,0,21
"5","Computer Vision Software Engineer",0,3,1
"6","Data Specialist",0,1,4
"7","Applied Machine Learning Scientist",0,2,6
"8","Data Analyst",8,18,102
"9","Data Analytics Consultant",0,0,1
"10","Product Data Analyst",2,0,1
"11","BI Data Analyst",1,5,3
"12","3D Computer Vision Researcher",0,1,2
"13","Lead Data Scientist",2,1,2
"14","Research Scientist",2,10,6
"15","Data Engineer",13,32,144
"16","ETL Developer",0,0,6
"17","Machine Learning Infrastructure Engineer",1,1,3
"18","Lead Machine Learning Engineer",0,0,2
"19","Machine Learning Engineer",5,18,43
"20","Data Science Manager",1,6,18
"21","Data Architect",0,3,16
"22","Machine Learning Research Engineer",0,1,0
"23","Applied Data Scientist",0,2,4
"24","Cloud Data Architect",0,1,0
"25","Business Data Analyst",2,1,3
"26","Machine Learning Developer",0,1,3
"27","ML Engineer",1,4,3
"28","Data Analytics Manager",0,3,4
"29","Lead Data Engineer",2,3,1
"30","Head of Machine Learning",0,0,1
"31","Data Science Engineer",0,2,1
"32","Head of Data Science",0,2,2
"33","Machine Learning Manager",1,0,0
"34","Director of Data Science",1,5,1
"35","NLP Engineer",0,0,1
"36","Computer Vision Engineer",1,3,2
"37","Head of Data",0,3,2
"38","Principal Data Analyst",0,1,1
"39","Data Analytics Lead",0,0,1
"40","Data Engineering Manager",2,3,0
"41","Data Analytics Engineer",0,3,1
"42","Principal Data Scientist",1,5,1
"43","Financial Data Analyst",0,1,1
"44","Principal Data Engineer",0,3,0
"45","Big Data Engineer",3,5,0
"46","Data Science Consultant",2,5,0
"47","Lead Data Analyst",1,2,0
"48","Marketing Data Analyst",0,1,0
"49","Director of Data Engineering",0,2,0
"50","Cloud Data Engineer",0,2,0
"51","Big Data Architect",0,1,0
"52","Staff Data Scientist",0,1,0
"53","Finance Data Analyst",0,1,0
